	attribute_name	attribute_value	tpr	tnr	for	fdr	fpr	fnr	npv	precision	ppr	pprev	prev
84	native_country	Japan	0.75	0.9	0.1	0.25	0.1	0.25	0.9	0.75	0.0	0.29	0.29
85	native_country	Laos		0.8	0.0	1.0	0.2		1.0	0.0	0.0	0.2	0.0
86	native_country	Mexico	0.33	0.99	0.03	0.33	0.01	0.67	0.97	0.67	0.0	0.02	0.05
87	native_country	Nicaragua		0.83	0.0	1.0	0.17		1.0	0.0	0.0	0.17	0.0
88	native_country	Outlying-US(Guam-USVI-etc)		1.0	0.0		0.0		1.0		0.0	0.0	0.0
89	native_country	Peru		0.88	0.0	1.0	0.12		1.0	0.0	0.0	0.12	0.0
90	native_country	Philippines	0.44	0.9	0.28	0.27	0.1	0.56	0.72	0.73	0.01	0.23	0.38
91	native_country	Poland	0.4	1.0	0.3	0.0	0.0	0.6	0.7	1.0	0.0	0.17	0.42
92	native_country	Portugal	0.0	1.0	0.25		0.0	1.0	0.75		0.0	0.0	0.25
93	native_country	Puerto-Rico	0.0	0.95	0.05	1.0	0.05	1.0	0.95	0.0	0.0	0.05	0.05
94	native_country	Scotland		1.0	0.0		0.0		1.0		0.0	0.0	0.0
95	native_country	South	1.0	0.73	0.0	0.75	0.27	0.0	1.0	0.25	0.0	0.33	0.08
96	native_country	Taiwan	0.67	1.0	0.14	0.0	0.0	0.33	0.86	1.0	0.0	0.22	0.33
97	native_country	Thailand	0.67	1.0	0.5	0.0	0.0	0.33	0.5	1.0	0.0	0.5	0.75
98	native_country	Trinadad&Tobago		1.0	0.0		0.0		1.0		0.0	0.0	0.0
99	native_country	United-States	0.59	0.93	0.12	0.26	0.07	0.41	0.88	0.74	0.91	0.19	0.24
100	native_country	Vietnam		0.9	0.0	1.0	0.1		1.0	0.0	0.0	0.1	0.0
101	native_country	Yugoslavia	0.0	1.0	0.5		0.0	1.0	0.5		0.0	0.0	0.5
